id,pred
4_0003_2019-01-28.jpg_0_clsnn1000000000d,0.123505935
4_0003_2019-01-28.jpg_1_clsnn1000001010d,0.10253257
4_0003_2019-01-28.jpg_2_clsnn0011001000d,0.38823298
4_0003_2019-01-28.jpg_3_clsnn0010101000d,0.30609986
4_0003_2019-01-28.jpg_4_clsnn0000011000d,0.033213608
4_0003_2019-01-28.jpg_5_clsnn1001000010d,0.10807831
4_0003_2019-01-28.jpg_6_clsnn0100000000d,0.309538
4_0014_2019-01-28.jpg_0_clsnn1000101010d,0.42022583
4_0014_2019-01-28.jpg_1_clsnn0011001000d,0.3691398
4_0014_2019-01-28.jpg_2_clsnn0000011000d,0.038985908
4_0014_2019-01-28.jpg_3_clsnn0010000000d,0.08648347
4_0014_2019-01-28.jpg_4_clsnn0011000000d,0.44438833
4_0225_2019-01-28.jpg_0_clsnn0001101000d,0.7861437
4_0225_2019-01-28.jpg_1_clsnn0010101000d,0.37042513
4_0225_2019-01-28.jpg_2_clsnn1000000100d,0.008102552
4_0225_2019-01-28.jpg_3_clsnn0011101000d,0.9030372
4_0225_2019-01-28.jpg_4_clsnn0011000000d,0.48080948
4_0225_2019-01-28.jpg_5_clsnn0011001000d,0.7345742
4_0368_2019-01-28.jpg_0_clsnn0011101000d,0.7756786
4_0368_2019-01-28.jpg_1_clsnn0001000000d,0.1250183
4_0368_2019-01-28.jpg_2_clsnn0011101000d,0.8595043
4_0368_2019-01-28.jpg_3_clsnn0011100000d,0.2226426
4_0368_2019-01-28.jpg_4_clsnn0011000000d,0.47564733
4_0368_2019-01-28.jpg_5_clsnn0011101010d,0.4887693
4_0368_2019-01-28.jpg_6_clsnn0010000000d,0.63743913
4_0368_2019-01-28.jpg_7_clsnn0011101000d,0.9168369
4_0375_2019-01-28.jpg_0_clsnn0011101000d,0.29905307
4_0375_2019-01-28.jpg_1_clsnn0011101000d,0.8527718
4_0375_2019-01-28.jpg_2_clsnn0011100000d,0.26361763
4_0375_2019-01-28.jpg_3_clsnn0100100000d,0.06290401
4_0375_2019-01-28.jpg_4_clsnn0011000000d,0.13920338
4_0375_2019-01-28.jpg_5_clsnn0011101000d,0.84632164
4_0375_2019-01-28.jpg_6_clsnn0011101000d,0.739213
4_0375_2019-01-28.jpg_7_clsnn0011000000d,0.42568082
4_0375_2019-01-28.jpg_8_clsnn0000100000d,0.4443577
4_0375_2019-01-28.jpg_9_clsnn1000000000d,0.6114708
4_0381_2019-01-28.jpg_0_clsnn0011101000d,0.8118315
4_0381_2019-01-28.jpg_10_clsnn1000000000d,0.22509187
4_0381_2019-01-28.jpg_1_clsnn0011101000d,0.7769672
4_0381_2019-01-28.jpg_2_clsnn0011100000d,0.22206679
4_0381_2019-01-28.jpg_3_clsnn0011000000d,0.64875966
4_0381_2019-01-28.jpg_4_clsnn1000100000d,0.22522001
4_0381_2019-01-28.jpg_5_clsnn1000100000d,0.6544006
4_0381_2019-01-28.jpg_6_clsnn0011101000d,0.64690036
4_0381_2019-01-28.jpg_7_clsnn0001000000d,0.1394423
4_0381_2019-01-28.jpg_8_clsnn0011001000d,0.9022926
4_0381_2019-01-28.jpg_9_clsnn0010000000d,0.6471432
4_0387_2019-01-28.jpg_0_clsnn0011101000d,0.88300383
4_0387_2019-01-28.jpg_1_clsnn0011101000d,0.6100208
4_0387_2019-01-28.jpg_2_clsnn0011101000d,0.88640666
4_0387_2019-01-28.jpg_3_clsnn0011101000d,0.8871916
4_0387_2019-01-28.jpg_4_clsnn1001000000d,0.11197882
4_0387_2019-01-28.jpg_5_clsnn0011000000d,0.24167281
4_0387_2019-01-28.jpg_6_clsnn1000100100d,0.08007118
